#ndep: 2897
#depth (km)   Rho_arithmetic (g/cm^3)   Rho_geometric (g/cm^3)
   266.0           3.4660E+00              3.4660E+00
   267.0           3.4665E+00              3.4665E+00
   268.0           3.4671E+00              3.4671E+00
   269.0           3.4677E+00              3.4677E+00
   270.0           3.4683E+00              3.4683E+00
   271.0           3.4689E+00              3.4689E+00
   272.0           3.4695E+00              3.4695E+00
   273.0           3.4700E+00              3.4700E+00
   274.0           3.4706E+00              3.4706E+00
   275.0           3.4712E+00              3.4712E+00
   276.0           3.4718E+00              3.4718E+00
   277.0           3.4724E+00              3.4724E+00
   278.0           3.4730E+00              3.4730E+00
   279.0           3.4736E+00              3.4736E+00
   280.0           3.4742E+00              3.4741E+00
   281.0           3.4747E+00              3.4747E+00
   282.0           3.4753E+00              3.4753E+00
   283.0           3.4759E+00              3.4759E+00
   284.0           3.4765E+00              3.4765E+00
   285.0           3.4771E+00              3.4771E+00
   286.0           3.4777E+00              3.4777E+00
   287.0           3.4783E+00              3.4783E+00
   288.0           3.4789E+00              3.4789E+00
   289.0           3.4795E+00              3.4795E+00
   290.0           3.4801E+00              3.4801E+00
   291.0           3.4807E+00              3.4807E+00
   292.0           3.4813E+00              3.4813E+00
   293.0           3.4819E+00              3.4819E+00
   294.0           3.4825E+00              3.4825E+00
   295.0           3.4831E+00              3.4831E+00
   296.0           3.4837E+00              3.4837E+00
   297.0           3.4843E+00              3.4843E+00
   298.0           3.4849E+00              3.4849E+00
   299.0           3.4856E+00              3.4856E+00
   300.0           3.4862E+00              3.4862E+00
   301.0           3.4868E+00              3.4868E+00
   302.0           3.4874E+00              3.4874E+00
   303.0           3.4880E+00              3.4880E+00
   304.0           3.4887E+00              3.4887E+00
   305.0           3.4893E+00              3.4893E+00
   306.0           3.4899E+00              3.4899E+00
   307.0           3.4906E+00              3.4906E+00
   308.0           3.4912E+00              3.4912E+00
   309.0           3.4918E+00              3.4918E+00
   310.0           3.4925E+00              3.4925E+00
   311.0           3.4931E+00              3.4931E+00
   312.0           3.4938E+00              3.4938E+00
   313.0           3.4944E+00              3.4944E+00
   314.0           3.4950E+00              3.4950E+00
   315.0           3.4957E+00              3.4957E+00
   316.0           3.4963E+00              3.4963E+00
   317.0           3.4970E+00              3.4970E+00
   318.0           3.4976E+00              3.4976E+00
   319.0           3.4983E+00              3.4983E+00
   320.0           3.4989E+00              3.4989E+00
   321.0           3.4996E+00              3.4996E+00
   322.0           3.5002E+00              3.5002E+00
   323.0           3.5009E+00              3.5009E+00
   324.0           3.5016E+00              3.5016E+00
   325.0           3.5022E+00              3.5022E+00
   326.0           3.5029E+00              3.5029E+00
   327.0           3.5035E+00              3.5035E+00
   328.0           3.5042E+00              3.5042E+00
   329.0           3.5048E+00              3.5048E+00
   330.0           3.5055E+00              3.5055E+00
   331.0           3.5062E+00              3.5062E+00
   332.0           3.5068E+00              3.5068E+00
   333.0           3.5075E+00              3.5075E+00
   334.0           3.5081E+00              3.5081E+00
   335.0           3.5088E+00              3.5088E+00
   336.0           3.5095E+00              3.5095E+00
   337.0           3.5101E+00              3.5101E+00
   338.0           3.5108E+00              3.5108E+00
   339.0           3.5114E+00              3.5114E+00
   340.0           3.5121E+00              3.5121E+00
   341.0           3.5127E+00              3.5127E+00
   342.0           3.5134E+00              3.5134E+00
   343.0           3.5141E+00              3.5141E+00
   344.0           3.5147E+00              3.5147E+00
   345.0           3.5154E+00              3.5154E+00
   346.0           3.5160E+00              3.5160E+00
   347.0           3.5167E+00              3.5167E+00
   348.0           3.5173E+00              3.5173E+00
   349.0           3.5180E+00              3.5180E+00
   350.0           3.5186E+00              3.5186E+00
   351.0           3.5193E+00              3.5193E+00
   352.0           3.5199E+00              3.5199E+00
   353.0           3.5206E+00              3.5206E+00
   354.0           3.5212E+00              3.5212E+00
   355.0           3.5219E+00              3.5219E+00
   356.0           3.5225E+00              3.5225E+00
   357.0           3.5231E+00              3.5231E+00
   358.0           3.5238E+00              3.5238E+00
   359.0           3.5244E+00              3.5244E+00
   360.0           3.5251E+00              3.5251E+00
   361.0           3.5257E+00              3.5257E+00
   362.0           3.5263E+00              3.5263E+00
